module,type,name,res_id,src,value
l10n_pe_ple,model,"base.table,name",l10n_pe_ple.sunat_tabla_17,ACCOUNT_PLAN,ACCOUNT_PLAN
l10n_pe_ple,model,"base.table,name",l10n_pe_ple.sunat_tabla_19,ASSET_STATE,ASSET_STATE
l10n_pe_ple,model,"base.table,name",l10n_pe_ple.sunat_tabla_18,ASSET_TYPE,ASSET_TYPE
l10n_pe_ple,field,"l10n_pe.ple_line,account_id",0,Account,Cuenta
l10n_pe_ple,view,l10n_pe.ple_configuration,0,Accounts,Cuentas
l10n_pe_ple,code,addons/l10n_pe_ple/sunat.py,78,Action error,Error de acción
l10n_pe_ple,model,"base.table,name",l10n_pe_ple.sunat_tabla_04,CURR_TYPE,CURR_TYPE
l10n_pe_ple,model,"base.table,name",l10n_pe_ple.sunat_tabla_11,CUSTOMS_CODE,CUSTOMS_CODE
l10n_pe_ple,code,addons/l10n_pe_ple/partner.py,78,"Carnet de extranjeria should be alfanumeric, not longer than 12 characters! Please check!","El Carnet de extranjeria debe ser alfanumérico, no mayor a 12 caracteres! Por favor revisar"
l10n_pe_ple,code,addons/l10n_pe_ple/partner.py,92,"Cedula diplomatica should be numeric, exactly 15 numbers long! Please check!","La Cédula diplomatica debe ser alfanumérica, exactamente de 15 caracteres de largo! Por favor revisar"
l10n_pe_ple,field,"l10n_pe.ple,message_comment_ids",0,Comments and emails,Comentarios y emails
l10n_pe_ple,help,"l10n_pe.ple,message_comment_ids",0,Comments and emails,Comentarios y emails
l10n_pe_ple,code,addons/l10n_pe_ple/partner.py,57,Companies should be identified by RUC only! Please check!,Las compañías se deben identificar con RUC solamente! Por favor revisar
l10n_pe_ple,code,addons/l10n_pe_ple/partner.py,65,Companies should be identified by RUC only! Please check!,Las compañías se deben identificar con RUC solamente! Por favor revisar
l10n_pe_ple,field,"l10n_pe.ple,company_id",0,Company,Compañía
l10n_pe_ple,field,"l10n_pe.ple_configuration,company_id",0,Company,Compañía
l10n_pe_ple,code,addons/l10n_pe_ple/sunat.py,114,Configuration error,Error de configuración
l10n_pe_ple,view,l10n_pe.ple,0,Confirm,Confirmar
l10n_pe_ple,view,l10n_pe.ple,0,Confirm the report,Confirmar el reporte
l10n_pe_ple,field,"l10n_pe.ple_line,credit",0,Credit,Crédito
l10n_pe_ple,model,"base.table,name",l10n_pe_ple.sunat_tabla_20,DEP_METH,DEP_METH
l10n_pe_ple,model,"base.table,name",l10n_pe_ple.sunat_tabla_02,DOC_TYPE,DOC_TYPE
l10n_pe_ple,field,"l10n_pe.ple_line,date",0,Date,Fecha
l10n_pe_ple,field,"l10n_pe.ple_line,debit",0,Debit,Débito
l10n_pe_ple,field,"l10n_pe.ple_line,description",0,Description,Descripción
l10n_pe_ple,code,addons/l10n_pe_ple/partner.py,70,"Document number should be alfanumeric, not longer than 15 characters! Please check!","El número de documento debe ser alfanumérico, no más largo de 15 caracteres! Por favor revisar"
l10n_pe_ple,selection,"l10n_pe.ple,state",0,Draft,Borrador
l10n_pe_ple,view,l10n_pe.sunat_file_save,0,Export Complete,Exportación completa
l10n_pe_ple,view,l10n_pe.sunat_file_save,0,Export SUNAT Files,Exportar archivos SUNAT
l10n_pe_ple,model,"base.table,name",l10n_pe_ple.sunat_tabla_03,FIN_ENTITY,FIN_ENTITY
l10n_pe_ple,model,"base.table,name",l10n_pe_ple.sunat_tabla_22,FIN_STATE,FIN_STATE
l10n_pe_ple,field,"l10n_pe.ple,message_follower_ids",0,Followers,Seguidores
l10n_pe_ple,view,l10n_pe.ple,0,Generate a file according to SUNAT specifications,Generar archivo según especificaciones SUNAT
l10n_pe_ple,view,l10n_pe.sunat_file_save,0,Here is the exported SUNAT file:,Este es el archivo SUNAT a exportar
l10n_pe_ple,help,"l10n_pe.ple,message_summary",0,"Holds the Chatter summary (number of messages, ...). This summary is directly in html format in order to be inserted in kanban views.","Resúmen del chatter (número de mensajes, ...). Este resumen está en formato html a fin de ser insertado en las vistas Kanban"
l10n_pe_ple,model,"base.table,name",l10n_pe_ple.sunat_tabla_13,INVENTORY_CAT,INVENTORY_CAT
l10n_pe_ple,model,"base.table,name",l10n_pe_ple.sunat_tabla_05,INVENTORY_TYPE,INVENTORY_TYPE
l10n_pe_ple,help,"l10n_pe.ple,message_unread",0,If checked new messages require your attention.,Si está activo hay mensajes que requieren su atención
l10n_pe_ple,field,"l10n_pe.ple,message_is_follower",0,Is a Follower,Es un seguidor
l10n_pe_ple,selection,"l10n_pe.ple,state",0,Issued,Publicado
l10n_pe_ple,field,"l10n_pe.ple,journal_id",0,Journal,Diario
l10n_pe_ple,view,l10n_pe.ple_configuration,0,Journals,Diarios
l10n_pe_ple,code,addons/l10n_pe_ple/partner.py,74,"Libreta electoral or DNI should be numeric, exactly 8 numbers long! Please check!","La Libreta electoral o DNI debe ser alfanumérica, exactamente de 8 números de largo! Por favor revisar!"
l10n_pe_ple,view,l10n_pe.ple,0,Lines,Líneas
l10n_pe_ple,field,"l10n_pe.ple,lines_ids",0,Lines,Líneas
l10n_pe_ple,field,"l10n_pe.ple,message_ids",0,Messages,Mensajes
l10n_pe_ple,help,"l10n_pe.ple,message_ids",0,Messages and communication history,Historia de comunicación y mensajes
l10n_pe_ple,field,"l10n_pe.ple_line,move_line_id",0,Move line,Línea de movimiento
l10n_pe_ple,code,addons/l10n_pe_ple/sunat.py,115,"No configuration for company %s found for report type ""1_1""! Please check!","No se encontró la configuración de la compañía %s para el reporte del tipo  ""1_1""!  Por favor revisar"
l10n_pe_ple,model,"base.table,name",l10n_pe_ple.sunat_tabla_12,OPERATION_TYPE,OPERATION_TYPE
l10n_pe_ple,view,l10n_pe.ple,0,"Once you confirm the report, it could no longer get back to 'draf'. Are you sure you want to confirm?",Una vez qye se confirma el reporte no se puede volver atrás a 'borrador'. Está seguro que quiere confirmarlo?
l10n_pe_ple,code,addons/l10n_pe_ple/sunat.py,72,"Only one report per company, report_type and period is allowed!","Only one report per company, report_type and period is allowed!"
l10n_pe_ple,sql_constraint,l10n_pe.ple,0,"Only one report per company, report_type and period is allowed!","Se permite un solo reporte por compañía, tipo de reporte y período!"
l10n_pe_ple,field,"l10n_pe.ple_line,operation_state",0,Operation state,Estado de operación
l10n_pe_ple,field,"l10n_pe.sunat_file_save,output_file",0,Output file,Archivo de salida
l10n_pe_ple,field,"l10n_pe.sunat_file_save,output_name",0,Output filename,Nombre del archivo de salida
l10n_pe_ple,model,"base.table,name",l10n_pe_ple.sunat_tabla_01,PAYMENT_MEDIA,PAYMENT_MEDIA
l10n_pe_ple,model,"base.table,name",l10n_pe_ple.sunat_tabla_10,PAYMENT_TYPE,PAYMENT_TYPE
